# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.828125000000000000e+00 3.693064212799072266e+00 1.189956092834472656e+01 3.642578125000000000e+00 3.693064212799072266e+00 1.189956092834472656e+01 9.890020489692687988e-01 5.043604850769042969e+00
1.000000000000000000e+01 1.138671875000000000e+00 4.695097923278808594e+00 6.646615028381347656e+00 9.428710937500000000e-01 4.695097923278808594e+00 6.646615028381347656e+00 7.860236167907714844e-01 3.185794830322265625e+00
2.000000000000000000e+01 4.807128906250000000e-01 4.822651863098144531e+00 4.621312618255615234e+00 8.891601562500000000e-01 4.822651863098144531e+00 4.621312618255615234e+00 6.513223648071289062e-01 2.187452554702758789e+00
3.000000000000000000e+01 3.532714843750000000e-01 4.873625755310058594e+00 3.518297195434570312e+00 9.887695312500000000e-01 4.873625755310058594e+00 3.518297195434570312e+00 5.695347189903259277e-01 1.672580361366271973e+00
4.000000000000000000e+01 2.846679687500000000e-01 4.722633838653564453e+00 3.008554220199584961e+00 9.736328125000000000e-01 4.722633838653564453e+00 3.008554220199584961e+00 5.183256268501281738e-01 1.385325908660888672e+00
5.000000000000000000e+01 2.386474609375000000e-01 4.664050579071044922e+00 2.599127054214477539e+00 1.271484375000000000e+00 4.664050579071044922e+00 2.599127054214477539e+00 4.966307580471038818e-01 1.271785497665405273e+00
6.000000000000000000e+01 2.225341796875000000e-01 4.660598278045654297e+00 2.178117275238037109e+00 1.849609375000000000e+00 4.660598278045654297e+00 2.178117275238037109e+00 4.744961857795715332e-01 1.160946249961853027e+00
7.000000000000000000e+01 2.064208984375000000e-01 4.551191806793212891e+00 1.905987977981567383e+00 2.519531250000000000e+00 4.551191806793212891e+00 1.905987977981567383e+00 4.644029438495635986e-01 1.112081408500671387e+00
8.000000000000000000e+01 2.036132812500000000e-01 4.466239929199218750e+00 1.609390735626220703e+00 3.417968750000000000e+00 4.466239929199218750e+00 1.609390735626220703e+00 4.402863383293151855e-01 9.995787739753723145e-01
9.000000000000000000e+01 1.987304687500000000e-01 4.353715419769287109e+00 1.356219410896301270e+00 4.621093750000000000e+00 4.353715419769287109e+00 1.356219410896301270e+00 4.243734180927276611e-01 9.286305904388427734e-01
1.000000000000000000e+02 1.929931640625000000e-01 4.220920085906982422e+00 1.142018914222717285e+00 5.960937500000000000e+00 4.220920085906982422e+00 1.142018914222717285e+00 4.154017269611358643e-01 8.897812962532043457e-01
1.100000000000000000e+02 1.849365234375000000e-01 4.095995903015136719e+00 9.499359130859375000e-01 7.316406250000000000e+00 4.095995903015136719e+00 9.499359130859375000e-01 4.092009067535400391e-01 8.634154200553894043e-01
