================================================================================
COMPUTING BUDGET TEST
================================================================================
Equation: Grad_Dependent_Nonlinear
Dimension: 61
Test points: 1200
Budget levels: [1.0, 2.0, 4.0, 8.0, 16.0]
================================================================================


================================================================================
Budget Level: 1.0x
================================================================================

--- PINN (budget=1.0x) ---
Compiling model...
'compile' took 0.005979 s

Training model...

Step      Train loss                        Test loss                         Test metric             
10000     [9.54e-05, 3.50e-06, 2.84e-06]    [1.62e-04, 3.50e-06, 2.84e-06]    [3.03e-02, 3.18e-04]    
10010     [3.07e-04, 9.81e-04, 6.73e-04]    [2.06e-04, 9.81e-04, 6.73e-04]    [5.86e-02, 1.19e-03]    
10020     [3.85e-05, 1.75e-04, 1.99e-04]    [9.87e-05, 1.75e-04, 1.99e-04]    [4.26e-02, 6.31e-04]    
10030     [3.27e-05, 1.51e-04, 1.27e-04]    [1.15e-04, 1.51e-04, 1.27e-04]    [3.40e-02, 4.03e-04]    
10040     [2.40e-05, 1.85e-05, 2.40e-05]    [9.48e-05, 1.85e-05, 2.40e-05]    [3.23e-02, 3.62e-04]    
10050     [2.46e-05, 1.30e-05, 1.64e-05]    [9.04e-05, 1.30e-05, 1.64e-05]    [3.06e-02, 3.25e-04]    
10060     [2.43e-05, 3.63e-06, 6.31e-06]    [8.82e-05, 3.63e-06, 6.31e-06]    [3.00e-02, 3.13e-04]    
10070     [1.87e-05, 2.38e-06, 3.47e-06]    [9.43e-05, 2.38e-06, 3.47e-06]    [2.99e-02, 3.10e-04]    
10080     [1.76e-05, 1.68e-06, 2.63e-06]    [9.80e-05, 1.68e-06, 2.63e-06]    [2.97e-02, 3.06e-04]    
10090     [1.67e-05, 1.53e-06, 2.13e-06]    [9.87e-05, 1.53e-06, 2.13e-06]    [2.96e-02, 3.04e-04]    
10100     [1.61e-05, 1.31e-06, 1.83e-06]    [1.00e-04, 1.31e-06, 1.83e-06]    [2.95e-02, 3.02e-04]    
10110     [1.54e-05, 1.09e-06, 1.74e-06]    [9.94e-05, 1.09e-06, 1.74e-06]    [2.94e-02, 3.01e-04]    
10120     [1.49e-05, 1.00e-06, 1.57e-06]    [9.94e-05, 1.00e-06, 1.57e-06]    [2.94e-02, 3.00e-04]    
10130     [1.44e-05, 8.98e-07, 1.46e-06]    [9.94e-05, 8.98e-07, 1.46e-06]    [2.93e-02, 2.99e-04]    
10140     [1.39e-05, 8.25e-07, 1.36e-06]    [9.91e-05, 8.25e-07, 1.36e-06]    [2.92e-02, 2.97e-04]    
10150     [1.34e-05, 7.47e-07, 1.30e-06]    [9.86e-05, 7.47e-07, 1.30e-06]    [2.92e-02, 2.97e-04]    
10160     [1.30e-05, 6.81e-07, 1.27e-06]    [9.87e-05, 6.81e-07, 1.27e-06]    [2.92e-02, 2.95e-04]    
10170     [1.27e-05, 6.36e-07, 1.17e-06]    [9.81e-05, 6.36e-07, 1.17e-06]    [2.91e-02, 2.93e-04]    
10180     [1.24e-05, 6.21e-07, 1.11e-06]    [9.80e-05, 6.21e-07, 1.11e-06]    [2.90e-02, 2.93e-04]    
10190     [1.20e-05, 5.85e-07, 1.05e-06]    [9.75e-05, 5.85e-07, 1.05e-06]    [2.90e-02, 2.92e-04]    
10200     [1.18e-05, 5.77e-07, 9.82e-07]    [9.74e-05, 5.77e-07, 9.82e-07]    [2.89e-02, 2.91e-04]    
10210     [1.15e-05, 5.26e-07, 9.54e-07]    [9.70e-05, 5.26e-07, 9.54e-07]    [2.89e-02, 2.90e-04]    
10220     [1.12e-05, 4.88e-07, 9.10e-07]    [9.63e-05, 4.88e-07, 9.10e-07]    [2.89e-02, 2.89e-04]    
10230     [1.10e-05, 4.96e-07, 8.66e-07]    [9.60e-05, 4.96e-07, 8.66e-07]    [2.88e-02, 2.88e-04]    
10240     [1.08e-05, 4.45e-07, 8.68e-07]    [9.56e-05, 4.45e-07, 8.68e-07]    [2.88e-02, 2.88e-04]    
