================================================================================
COMPUTING BUDGET TEST
================================================================================
Equation: Linear_Convection_Diffusion
Dimension: 31
Test points: 1200
Budget levels: [1.0, 2.0, 4.0, 8.0, 16.0]
================================================================================


================================================================================
Budget Level: 1.0x
================================================================================

--- PINN (budget=1.0x) ---
Compiling model...
'compile' took 0.006908 s

Training model...

Step      Train loss              Test loss               Test metric             
10470     [1.42e-04, 5.23e-05]    [1.42e-04, 5.23e-05]    [0.00e+00, 1.48e-03]    
10480     [1.42e-04, 5.20e-05]    [1.42e-04, 5.20e-05]    [0.00e+00, 1.47e-03]    
10490     [1.42e-04, 5.17e-05]    [1.42e-04, 5.17e-05]    [0.00e+00, 1.46e-03]    
10500     [1.41e-04, 5.15e-05]    [1.41e-04, 5.15e-05]    [0.00e+00, 1.45e-03]    
10510     [1.41e-04, 5.12e-05]    [1.41e-04, 5.12e-05]    [0.00e+00, 1.45e-03]    
10520     [1.40e-04, 5.10e-05]    [1.40e-04, 5.10e-05]    [0.00e+00, 1.44e-03]    
10530     [1.40e-04, 5.07e-05]    [1.40e-04, 5.07e-05]    [0.00e+00, 1.43e-03]    
10540     [1.40e-04, 5.05e-05]    [1.40e-04, 5.05e-05]    [0.00e+00, 1.43e-03]    
10550     [1.41e-04, 5.03e-05]    [1.41e-04, 5.03e-05]    [0.00e+00, 1.42e-03]    
10560     [1.42e-04, 5.01e-05]    [1.42e-04, 5.01e-05]    [0.00e+00, 1.41e-03]    
10570     [1.43e-04, 4.99e-05]    [1.43e-04, 4.99e-05]    [0.00e+00, 1.41e-03]    
10580     [1.43e-04, 4.95e-05]    [1.43e-04, 4.95e-05]    [0.00e+00, 1.40e-03]    
10590     [1.40e-04, 4.94e-05]    [1.40e-04, 4.94e-05]    [0.00e+00, 1.39e-03]    
10600     [1.41e-04, 4.92e-05]    [1.41e-04, 4.92e-05]    [0.00e+00, 1.39e-03]    
10610     [2.52e-03, 5.16e-05]    [2.52e-03, 5.16e-05]    [0.00e+00, 1.35e-03]    
10620     [3.94e-03, 6.33e-05]    [3.94e-03, 6.33e-05]    [0.00e+00, 1.57e-03]    
