# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.372679233551025391e+00 2.356620550155639648e+00 1.372679233551025391e+00 2.356620550155639648e+00 9.836846590042114258e-01 2.356946229934692383e+00
1.000000000000000000e+01 2.381407022476196289e-01 1.290890097618103027e+00 2.381407022476196289e-01 1.290890097618103027e+00 7.282178997993469238e-01 1.291696906089782715e+00
2.000000000000000000e+01 1.201325654983520508e-01 8.044258952140808105e-01 1.201325654983520508e-01 8.044258952140808105e-01 5.748336911201477051e-01 8.048637509346008301e-01
3.000000000000000000e+01 5.623155459761619568e-02 4.060763716697692871e-01 5.623155459761619568e-02 4.060763716697692871e-01 4.084219634532928467e-01 4.063085913658142090e-01
4.000000000000000000e+01 3.329496830701828003e-02 9.249383211135864258e-02 3.329496830701828003e-02 9.249383211135864258e-02 1.949495971202850342e-01 9.257262945175170898e-02
5.000000000000000000e+01 2.976181544363498688e-02 5.896573141217231750e-02 2.976181544363498688e-02 5.896573141217231750e-02 1.554632335901260376e-01 5.886989831924438477e-02
6.000000000000000000e+01 1.199665386229753494e-02 3.849710896611213684e-02 1.199665386229753494e-02 3.849710896611213684e-02 1.257082521915435791e-01 3.849156573414802551e-02
7.000000000000000000e+01 1.009160280227661133e-02 2.888703159987926483e-02 1.009160280227661133e-02 2.888703159987926483e-02 1.089596971869468689e-01 2.891809679567813873e-02
8.000000000000000000e+01 5.642945878207683563e-03 2.702496200799942017e-02 5.642945878207683563e-03 2.702496200799942017e-02 1.054389402270317078e-01 2.707945182919502258e-02
9.000000000000000000e+01 5.355123896151781082e-03 2.257773093879222870e-02 5.355123896151781082e-03 2.257773093879222870e-02 9.649786353111267090e-02 2.268158271908760071e-02
1.000000000000000000e+02 5.326900631189346313e-03 1.931177824735641479e-02 5.326900631189346313e-03 1.931177824735641479e-02 8.932699263095855713e-02 1.943583600223064423e-02
1.100000000000000000e+02 4.550491459667682648e-03 1.725084707140922546e-02 4.550491459667682648e-03 1.725084707140922546e-02 8.454560488462448120e-02 1.741085015237331390e-02
1.200000000000000000e+02 4.377381876111030579e-03 1.494614221155643463e-02 4.377381876111030579e-03 1.494614221155643463e-02 7.882031798362731934e-02 1.513262465596199036e-02
1.300000000000000000e+02 3.819417208433151245e-03 1.326940022408962250e-02 3.819417208433151245e-03 1.326940022408962250e-02 7.437265664339065552e-02 1.347300596535205841e-02
1.400000000000000000e+02 3.379964036867022514e-03 1.170256081968545914e-02 3.379964036867022514e-03 1.170256081968545914e-02 6.997009366750717163e-02 1.192512363195419312e-02
1.500000000000000000e+02 3.040613373741507530e-03 1.028604526072740555e-02 3.040613373741507530e-03 1.028604526072740555e-02 6.571638584136962891e-02 1.051926054060459137e-02
1.600000000000000000e+02 2.795533277094364166e-03 9.035153314471244812e-03 2.795533277094364166e-03 9.035153314471244812e-03 6.171074137091636658e-02 9.275970049202442169e-03
1.700000000000000000e+02 2.604289911687374115e-03 7.963757961988449097e-03 2.604289911687374115e-03 7.963757961988449097e-03 5.804375186562538147e-02 8.206326514482498169e-03
1.800000000000000000e+02 2.444916404783725739e-03 7.040176540613174438e-03 2.444916404783725739e-03 7.040176540613174438e-03 5.466938763856887817e-02 7.279914803802967072e-03
1.900000000000000000e+02 2.296857535839080811e-03 6.233934778720140457e-03 2.296857535839080811e-03 6.233934778720140457e-03 5.152126029133796692e-02 6.465629674494266510e-03
2.000000000000000000e+02 2.146530663594603539e-03 5.529876798391342163e-03 2.146530663594603539e-03 5.529876798391342163e-03 4.859015345573425293e-02 5.750882439315319061e-03
2.100000000000000000e+02 1.987600000575184822e-03 4.915173631161451340e-03 1.987600000575184822e-03 4.915173631161451340e-03 4.586449638009071350e-02 5.123788025230169296e-03
2.200000000000000000e+02 1.825166749767959118e-03 4.375165794044733047e-03 1.825166749767959118e-03 4.375165794044733047e-03 4.332212731242179871e-02 4.571486264467239380e-03
2.300000000000000000e+02 1.669146586209535599e-03 3.898796858265995979e-03 1.669146586209535599e-03 3.898796858265995979e-03 4.094390198588371277e-02 4.083347506821155548e-03
2.400000000000000000e+02 1.528128283098340034e-03 3.481559222564101219e-03 1.528128283098340034e-03 3.481559222564101219e-03 3.873895108699798584e-02 3.655389184132218361e-03
